,0,aif,autonews,championat,commers,echo,express,fontanka,gazeta,govorit,indicator,interfax,iz,kp,lenta,mediazona,meduza,mk,moscow,motor,novaya,nplus1,ntv,postnauka,radiovesti,rbk,review,ria,rosgazeta,rt,sports,svoboda,tass,thebell,tv1,tvrain,vedomosti,zarulem,zvezda,sum
2921,россия,42962.0,689.0,20195.0,138490.0,41943.0,1862.0,23491.0,147930.0,11087.0,942.0,81030.0,104119.0,147271.0,70298.0,3652.0,13755.0,29404.0,27710.0,2250.0,18944.0,102.0,16143.0,342.0,2989.0,51573.0,1551.0,183671.0,89231.0,97741.0,25071.0,35139.0,148394.0,3491.0,19640.0,13759.0,29762.0,2884.0,28987.0,1678494.0
1292,москва,21780.0,418.0,2120.0,48521.0,28997.0,287.0,7451.0,40861.0,10186.0,414.0,144391.0,42676.0,56821.0,21291.0,4148.0,7877.0,14797.0,91887.0,304.0,11557.0,30.0,8228.0,83.0,1136.0,21391.0,251.0,165737.0,33759.0,29424.0,2916.0,13147.0,110933.0,886.0,8129.0,7671.0,10913.0,1088.0,10868.0,983374.0
6581,сша,21617.0,33.0,2824.0,44911.0,15954.0,138.0,8044.0,70006.0,3649.0,523.0,66737.0,48031.0,29369.0,27246.0,401.0,5125.0,12322.0,750.0,684.0,5172.0,309.0,8665.0,95.0,1187.0,23982.0,378.0,93653.0,32931.0,51271.0,3594.0,10356.0,84425.0,1848.0,5900.0,4168.0,11688.0,426.0,13688.0,712100.0
4715,рф,24664.0,79.0,233.0,61633.0,4304.0,87.0,7776.0,20996.0,1314.0,182.0,68179.0,27135.0,34177.0,3149.0,248.0,2001.0,7950.0,21806.0,27.0,3251.0,4.0,5600.0,5.0,235.0,5191.0,25.0,85555.0,32521.0,8618.0,517.0,1618.0,105358.0,142.0,3027.0,850.0,1352.0,598.0,16896.0,557303.0
4058,украина,20274.0,3.0,826.0,21698.0,10744.0,47.0,6064.0,65122.0,3160.0,15.0,29738.0,42387.0,31066.0,30871.0,362.0,2250.0,12923.0,396.0,13.0,4824.0,15.0,6798.0,5.0,999.0,19693.0,16.0,83757.0,14760.0,46813.0,1141.0,13454.0,40769.0,589.0,6500.0,3337.0,4796.0,36.0,13379.0,539640.0
8707,владимир,13651.0,22.0,1687.0,41755.0,12620.0,284.0,7282.0,31023.0,3829.0,151.0,16513.0,25259.0,39879.0,14473.0,1390.0,3333.0,9113.0,3588.0,36.0,4865.0,14.0,6297.0,67.0,1171.0,11751.0,26.0,42331.0,20355.0,20924.0,2828.0,9404.0,31089.0,797.0,12752.0,4253.0,5954.0,200.0,8927.0,409893.0
1875,риа,13695.0,20.0,314.0,5995.0,2073.0,168.0,1495.0,24668.0,9167.0,8.0,186.0,15279.0,3383.0,6593.0,553.0,501.0,962.0,9.0,23.0,902.0,0.0,3148.0,0.0,286.0,5451.0,3.0,257531.0,6736.0,14313.0,151.0,438.0,259.0,57.0,184.0,1155.0,1048.0,85.0,2863.0,379702.0
2517,путин,11465.0,20.0,261.0,21581.0,14088.0,16.0,7135.0,31094.0,2882.0,39.0,17122.0,20520.0,19704.0,12528.0,1375.0,3663.0,10167.0,1828.0,21.0,4716.0,0.0,6800.0,0.0,1870.0,13832.0,7.0,42139.0,14400.0,16298.0,485.0,13612.0,26704.0,1174.0,11051.0,5224.0,8092.0,81.0,9145.0,351139.0
763,тасс,9187.0,30.0,494.0,6900.0,4944.0,173.0,1401.0,15580.0,5008.0,37.0,42.0,13596.0,5621.0,6864.0,1004.0,1669.0,715.0,20.0,21.0,1221.0,2.0,3071.0,1.0,464.0,6153.0,3.0,90.0,7210.0,7310.0,215.0,643.0,217919.0,107.0,157.0,2094.0,1528.0,64.0,1545.0,323103.0
6595,александр,8291.0,16.0,6790.0,43684.0,8502.0,1334.0,7564.0,25683.0,2496.0,238.0,12502.0,15017.0,46581.0,7461.0,1939.0,3765.0,6030.0,3283.0,58.0,5476.0,86.0,3692.0,126.0,237.0,6247.0,24.0,19749.0,21614.0,10182.0,11032.0,8043.0,20344.0,423.0,3848.0,2712.0,4099.0,173.0,3752.0,323093.0
6868,сергей,7693.0,12.0,3070.0,34735.0,7620.0,413.0,4276.0,15874.0,2321.0,104.0,10286.0,13957.0,38070.0,5826.0,1554.0,2585.0,5471.0,6813.0,49.0,4381.0,26.0,3246.0,40.0,353.0,6152.0,56.0,21212.0,17185.0,9880.0,5451.0,7943.0,20397.0,408.0,4059.0,2323.0,3548.0,158.0,5117.0,272664.0
6042,трамп,7737.0,0.0,67.0,13269.0,8067.0,9.0,2936.0,33160.0,1422.0,8.0,21781.0,17122.0,11025.0,8426.0,32.0,2726.0,6045.0,5.0,12.0,2658.0,1.0,5336.0,11.0,484.0,10118.0,3.0,25936.0,10068.0,19320.0,275.0,7998.0,27371.0,780.0,3522.0,2017.0,4028.0,28.0,4121.0,257924.0
4122,ru,3011.0,44.0,254.0,9183.0,1191.0,29.0,1516.0,27691.0,966.0,711.0,101184.0,5284.0,38357.0,1948.0,675.0,771.0,848.0,1697.0,30.0,504.0,1.0,1151.0,7.0,2.0,1913.0,12.0,7794.0,2905.0,7279.0,3514.0,393.0,2037.0,243.0,198.0,777.0,1508.0,457.0,458.0,226543.0
92,петербург,3173.0,47.0,1072.0,29423.0,5469.0,164.0,26773.0,6910.0,1164.0,168.0,8872.0,8275.0,35250.0,3997.0,1385.0,2021.0,1964.0,2018.0,102.0,3667.0,13.0,3185.0,27.0,237.0,4691.0,84.0,15376.0,14067.0,4821.0,1516.0,2786.0,27217.0,154.0,2498.0,1921.0,2870.0,371.0,2384.0,226132.0
3901,китай,5576.0,85.0,975.0,15503.0,3864.0,107.0,2538.0,12162.0,1204.0,144.0,18923.0,12119.0,13962.0,6736.0,170.0,1578.0,4027.0,2441.0,344.0,2052.0,131.0,2581.0,41.0,356.0,5044.0,511.0,32682.0,15070.0,10096.0,1910.0,3119.0,22019.0,460.0,2646.0,1109.0,4644.0,342.0,2785.0,210056.0
6,зеленский,7810.0,0.0,45.0,8030.0,4265.0,0.0,2374.0,28155.0,1225.0,0.0,7954.0,13864.0,13146.0,11370.0,10.0,1582.0,7562.0,10.0,0.0,1927.0,0.0,4071.0,0.0,355.0,8161.0,0.0,23525.0,4628.0,15772.0,25.0,4701.0,10734.0,302.0,3074.0,1662.0,2796.0,3.0,4671.0,193809.0
6850,сми,6525.0,6.0,564.0,10988.0,4629.0,193.0,3895.0,16633.0,2658.0,57.0,14459.0,8766.0,10023.0,3451.0,388.0,1727.0,4914.0,3697.0,83.0,3195.0,6.0,2476.0,20.0,208.0,5258.0,13.0,25033.0,7624.0,8289.0,600.0,2963.0,15584.0,246.0,1081.0,1315.0,1751.0,74.0,3167.0,172559.0
7019,дмитрий,4337.0,9.0,1773.0,24044.0,4538.0,388.0,2439.0,10946.0,1464.0,134.0,7165.0,8574.0,19434.0,4379.0,953.0,1653.0,3062.0,945.0,23.0,2446.0,140.0,2155.0,34.0,407.0,4540.0,23.0,14576.0,9892.0,6317.0,3273.0,3248.0,12061.0,279.0,3638.0,1529.0,3499.0,122.0,2300.0,166739.0
1976,европа,4917.0,51.0,4415.0,12440.0,3736.0,669.0,2204.0,18232.0,724.0,133.0,7903.0,11080.0,11950.0,5943.0,140.0,1053.0,2522.0,798.0,462.0,1708.0,142.0,1860.0,158.0,164.0,3354.0,623.0,15247.0,10622.0,9267.0,6945.0,3553.0,11640.0,238.0,2598.0,596.0,2816.0,408.0,2280.0,163591.0
6429,алексей,4077.0,4.0,1557.0,23941.0,5858.0,237.0,2893.0,8260.0,1455.0,125.0,6916.0,7276.0,24425.0,3227.0,1494.0,2251.0,3184.0,2151.0,47.0,3069.0,12.0,1670.0,74.0,115.0,3552.0,11.0,10098.0,9547.0,4862.0,3144.0,4205.0,10196.0,385.0,1852.0,2024.0,3322.0,160.0,1992.0,159668.0
6654,андрей,3831.0,2.0,1563.0,23832.0,3814.0,261.0,2643.0,9920.0,983.0,105.0,5921.0,6701.0,24140.0,4193.0,1088.0,1802.0,3369.0,2775.0,33.0,2843.0,25.0,1475.0,21.0,107.0,3722.0,36.0,11232.0,10011.0,5114.0,3891.0,4505.0,10342.0,258.0,1942.0,1347.0,2540.0,82.0,1918.0,158387.0
1655,мвд,2968.0,70.0,29.0,12344.0,3433.0,8.0,3530.0,6068.0,1616.0,0.0,9938.0,6069.0,25489.0,4416.0,2412.0,1738.0,2133.0,5006.0,41.0,2635.0,2.0,1533.0,0.0,191.0,5962.0,5.0,13820.0,7170.0,4806.0,147.0,1690.0,11314.0,152.0,786.0,2179.0,1586.0,341.0,1821.0,143448.0
819,мид,5275.0,1.0,15.0,6558.0,2973.0,7.0,1458.0,10494.0,953.0,5.0,7833.0,9439.0,4904.0,3520.0,92.0,362.0,2123.0,202.0,6.0,736.0,0.0,1611.0,2.0,391.0,4790.0,0.0,29349.0,5036.0,12560.0,33.0,959.0,20301.0,63.0,1547.0,658.0,689.0,4.0,3074.0,138023.0
222,киев,4709.0,0.0,90.0,4156.0,2382.0,7.0,1031.0,13384.0,883.0,2.0,5370.0,11578.0,7228.0,7554.0,60.0,352.0,3283.0,95.0,0.0,881.0,4.0,1734.0,2.0,263.0,4269.0,5.0,28688.0,3461.0,10310.0,111.0,2196.0,13175.0,45.0,1884.0,521.0,637.0,2.0,3139.0,133491.0
2780,госдума,3304.0,47.0,112.0,12051.0,3651.0,26.0,1875.0,7194.0,1439.0,17.0,7938.0,7227.0,7708.0,3531.0,464.0,1352.0,2196.0,9656.0,23.0,1438.0,0.0,1325.0,0.0,266.0,3711.0,4.0,15008.0,6717.0,8261.0,261.0,1278.0,13102.0,312.0,1401.0,1542.0,2945.0,183.0,1464.0,129029.0
2266,крым,4375.0,4.0,47.0,5663.0,3522.0,0.0,1052.0,12646.0,841.0,19.0,5692.0,9862.0,8067.0,4980.0,305.0,552.0,2532.0,572.0,42.0,1287.0,14.0,1455.0,7.0,132.0,3994.0,13.0,19702.0,9086.0,8893.0,80.0,3635.0,13091.0,84.0,1362.0,710.0,1169.0,51.0,2853.0,128391.0
6604,турция,4298.0,0.0,413.0,7768.0,2339.0,63.0,1508.0,9666.0,654.0,11.0,8732.0,9257.0,6023.0,5066.0,71.0,797.0,2855.0,287.0,25.0,732.0,10.0,1435.0,8.0,272.0,4324.0,25.0,22764.0,4908.0,8167.0,958.0,1563.0,13726.0,97.0,1488.0,611.0,1311.0,36.0,2976.0,125244.0
3025,иран,3601.0,0.0,295.0,7190.0,3508.0,4.0,1215.0,8680.0,631.0,6.0,9371.0,8490.0,4347.0,3891.0,43.0,1037.0,2350.0,194.0,8.0,1393.0,8.0,1657.0,16.0,271.0,3784.0,2.0,24192.0,4573.0,8685.0,213.0,2644.0,16109.0,211.0,1284.0,695.0,1355.0,5.0,2188.0,124146.0
4116,сирия,3843.0,0.0,10.0,6191.0,2382.0,0.0,1358.0,8392.0,544.0,3.0,8328.0,9177.0,4586.0,4848.0,188.0,854.0,2360.0,51.0,1.0,1236.0,7.0,1565.0,9.0,305.0,3820.0,2.0,25908.0,4588.0,7479.0,9.0,2193.0,15401.0,108.0,2146.0,740.0,1014.0,5.0,4424.0,124075.0
3626,санкт,2397.0,44.0,1161.0,15071.0,1824.0,132.0,6017.0,5273.0,561.0,226.0,4326.0,6513.0,14865.0,3356.0,91.0,704.0,1304.0,2037.0,90.0,1067.0,11.0,781.0,15.0,152.0,3287.0,88.0,7822.0,8529.0,3648.0,1127.0,1259.0,21117.0,95.0,1475.0,940.0,2203.0,334.0,1624.0,121566.0
2895,михаил,3316.0,20.0,923.0,15999.0,3654.0,126.0,2427.0,6001.0,1363.0,139.0,4531.0,5118.0,19107.0,2584.0,838.0,1706.0,2493.0,1395.0,44.0,2033.0,28.0,1302.0,74.0,86.0,2562.0,20.0,7897.0,6977.0,3737.0,1223.0,7935.0,7936.0,245.0,1866.0,1583.0,2210.0,205.0,1643.0,121346.0
2471,экс,3628.0,10.0,1339.0,13848.0,2277.0,154.0,1811.0,16207.0,876.0,2.0,7978.0,6170.0,12386.0,1834.0,521.0,94.0,3110.0,1166.0,69.0,1303.0,11.0,1244.0,0.0,117.0,4864.0,8.0,12179.0,3869.0,3935.0,3383.0,481.0,8323.0,296.0,337.0,449.0,1179.0,14.0,1583.0,117055.0
8280,вашингтон,3060.0,0.0,974.0,5707.0,2486.0,230.0,661.0,9857.0,628.0,15.0,6202.0,9218.0,4516.0,3413.0,12.0,194.0,1637.0,11.0,11.0,507.0,16.0,1413.0,6.0,234.0,3172.0,2.0,17379.0,5539.0,10026.0,2350.0,1293.0,18184.0,63.0,1602.0,258.0,970.0,8.0,2028.0,113882.0
7516,молодая,3550.0,3.0,1173.0,6797.0,2353.0,163.0,1772.0,6596.0,571.0,319.0,1946.0,4666.0,28468.0,3151.0,836.0,1058.0,3336.0,1961.0,75.0,1654.0,179.0,1324.0,113.0,42.0,914.0,27.0,6854.0,9010.0,1799.0,2749.0,2184.0,7732.0,51.0,1531.0,470.0,1158.0,184.0,1289.0,108058.0
8403,германия,3501.0,15.0,2079.0,6821.0,2845.0,129.0,1303.0,9808.0,581.0,176.0,5321.0,7588.0,7821.0,4544.0,124.0,844.0,1990.0,512.0,242.0,1112.0,105.0,1244.0,81.0,140.0,2663.0,215.0,13086.0,6530.0,6156.0,2822.0,2687.0,8739.0,130.0,1484.0,574.0,1491.0,291.0,1998.0,107792.0
562,вица,2361.0,7.0,307.0,15520.0,2285.0,84.0,2326.0,6298.0,778.0,61.0,7584.0,5741.0,7205.0,2916.0,162.0,683.0,1269.0,784.0,66.0,1148.0,4.0,991.0,4.0,150.0,4355.0,44.0,10871.0,5413.0,4170.0,989.0,1031.0,14798.0,260.0,873.0,795.0,3167.0,123.0,1354.0,106977.0
4394,порошенко,4442.0,0.0,21.0,3379.0,1742.0,0.0,1197.0,15093.0,575.0,0.0,3151.0,8055.0,7249.0,5277.0,4.0,379.0,2156.0,0.0,0.0,933.0,0.0,2552.0,0.0,185.0,3797.0,0.0,15820.0,2758.0,9192.0,7.0,2181.0,5294.0,113.0,2481.0,488.0,984.0,0.0,2999.0,102504.0
7941,евгений,2484.0,5.0,2532.0,14522.0,3174.0,386.0,1878.0,8680.0,809.0,56.0,3065.0,4463.0,17158.0,2098.0,848.0,1448.0,1923.0,1081.0,12.0,1875.0,10.0,1240.0,18.0,77.0,1921.0,4.0,4662.0,6539.0,2252.0,3915.0,2180.0,5908.0,111.0,1293.0,1197.0,1259.0,56.0,1078.0,102217.0
3159,дональд,3400.0,0.0,452.0,8220.0,3431.0,64.0,1212.0,10707.0,767.0,10.0,7830.0,7392.0,4175.0,3694.0,19.0,824.0,1931.0,5.0,6.0,703.0,7.0,1662.0,6.0,221.0,3527.0,2.0,10352.0,3623.0,7287.0,323.0,2314.0,10220.0,209.0,1553.0,673.0,1238.0,10.0,1817.0,99886.0
3810,interfax,0.0,0.0,0.0,113.0,6.0,0.0,14.0,0.0,0.0,0.0,99524.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,99673.0
769,франция,3164.0,5.0,1553.0,6729.0,2398.0,132.0,1100.0,8682.0,662.0,103.0,5734.0,6881.0,5273.0,2965.0,86.0,616.0,1599.0,609.0,79.0,1249.0,95.0,1225.0,97.0,203.0,2521.0,76.0,12908.0,5370.0,5038.0,3076.0,1883.0,12288.0,123.0,1350.0,494.0,1360.0,106.0,1545.0,99377.0
5899,ук,813.0,5.0,9.0,22252.0,627.0,3.0,2041.0,2882.0,68.0,2.0,11181.0,3440.0,8781.0,2407.0,5883.0,384.0,916.0,4011.0,1.0,4291.0,3.0,170.0,0.0,7.0,4582.0,2.0,4221.0,4769.0,1912.0,54.0,342.0,9168.0,114.0,21.0,1044.0,1519.0,102.0,502.0,98529.0
6859,коронавирус,2740.0,96.0,119.0,4671.0,1577.0,225.0,1480.0,6386.0,820.0,34.0,9108.0,6043.0,10457.0,2862.0,1084.0,858.0,3255.0,2047.0,51.0,897.0,23.0,1782.0,2.0,305.0,2547.0,5.0,12415.0,3305.0,12581.0,478.0,465.0,5284.0,158.0,1017.0,699.0,1005.0,35.0,1445.0,98361.0
6856,венесуэла,3145.0,0.0,96.0,5315.0,2659.0,9.0,1124.0,8340.0,614.0,3.0,7779.0,6271.0,3978.0,2075.0,40.0,396.0,628.0,14.0,2.0,1504.0,0.0,1816.0,0.0,173.0,3660.0,0.0,17736.0,3922.0,7128.0,95.0,1472.0,12673.0,251.0,797.0,536.0,1562.0,0.0,1901.0,97714.0
1408,the,1839.0,4.0,365.0,7001.0,2143.0,494.0,2179.0,14242.0,671.0,380.0,7309.0,5317.0,2917.0,6074.0,294.0,2624.0,1260.0,262.0,152.0,904.0,223.0,1950.0,156.0,39.0,2554.0,42.0,2976.0,7315.0,4803.0,4028.0,1456.0,8007.0,1189.0,370.0,2297.0,2413.0,62.0,1031.0,97342.0
1621,дтп,1989.0,110.0,55.0,3563.0,586.0,14.0,5393.0,4340.0,609.0,4.0,2927.0,5923.0,30877.0,1291.0,93.0,155.0,1143.0,2908.0,201.0,148.0,1.0,1046.0,1.0,200.0,2716.0,33.0,9967.0,5675.0,3348.0,118.0,100.0,7859.0,19.0,465.0,163.0,235.0,836.0,2104.0,97215.0
2737,мчс,1769.0,5.0,17.0,4920.0,1125.0,1.0,1519.0,3058.0,848.0,5.0,6973.0,5028.0,22283.0,1130.0,175.0,294.0,991.0,3068.0,3.0,441.0,0.0,1121.0,0.0,327.0,4050.0,5.0,12050.0,5962.0,4053.0,24.0,283.0,11240.0,24.0,974.0,486.0,386.0,56.0,2429.0,97123.0
2100,газа,3249.0,2.0,53.0,7330.0,1538.0,4.0,1068.0,7328.0,604.0,282.0,7433.0,6805.0,6571.0,3725.0,102.0,281.0,1729.0,499.0,174.0,770.0,225.0,1100.0,77.0,279.0,3786.0,103.0,13507.0,4521.0,6327.0,28.0,1044.0,9577.0,141.0,976.0,611.0,2196.0,245.0,1947.0,96237.0
8528,медведев,2903.0,9.0,2067.0,6805.0,2124.0,217.0,1604.0,12489.0,649.0,37.0,4416.0,4123.0,5516.0,2807.0,106.0,705.0,1714.0,497.0,10.0,861.0,0.0,1325.0,0.0,313.0,2826.0,5.0,9886.0,5068.0,2590.0,2596.0,3271.0,8415.0,240.0,2792.0,863.0,1942.0,75.0,1092.0,92958.0
8496,ес,2078.0,0.0,0.0,6260.0,1847.0,0.0,1186.0,7817.0,438.0,5.0,7510.0,6064.0,2195.0,1928.0,12.0,412.0,1021.0,16.0,3.0,1371.0,2.0,883.0,2.0,210.0,2518.0,2.0,15448.0,3389.0,8207.0,18.0,1790.0,13751.0,183.0,645.0,277.0,1696.0,41.0,877.0,90102.0
2241,юрий,2753.0,0.0,578.0,10998.0,2226.0,164.0,1464.0,5510.0,721.0,50.0,3673.0,4562.0,11848.0,2112.0,466.0,937.0,2053.0,978.0,7.0,1473.0,7.0,1037.0,21.0,105.0,2081.0,11.0,7396.0,6017.0,4117.0,1174.0,2334.0,6299.0,128.0,1399.0,915.0,1312.0,67.0,1595.0,88588.0
3362,ск,1919.0,3.0,30.0,3578.0,2260.0,5.0,1570.0,4123.0,322.0,5.0,3845.0,3512.0,10443.0,693.0,2414.0,1363.0,1428.0,3868.0,0.0,2287.0,0.0,1312.0,0.0,63.0,4185.0,0.0,13079.0,6429.0,4845.0,26.0,490.0,10012.0,91.0,244.0,1387.0,312.0,16.0,1822.0,87981.0
3396,иван,2677.0,0.0,676.0,9962.0,3940.0,129.0,1704.0,4181.0,724.0,51.0,3971.0,3031.0,14133.0,1530.0,922.0,3214.0,1857.0,921.0,23.0,2332.0,13.0,891.0,74.0,41.0,1514.0,7.0,4207.0,5360.0,2057.0,1876.0,3856.0,4285.0,107.0,1002.0,1424.0,1126.0,33.0,788.0,84639.0
2788,соцсеть,2280.0,3.0,274.0,4774.0,1795.0,31.0,2030.0,4121.0,889.0,15.0,2810.0,3265.0,32236.0,2697.0,312.0,1256.0,2160.0,456.0,33.0,1198.0,9.0,1508.0,3.0,59.0,1185.0,32.0,5115.0,3754.0,1114.0,912.0,1170.0,2714.0,194.0,663.0,792.0,887.0,150.0,827.0,83723.0
1795,игорь,2400.0,8.0,597.0,11271.0,2119.0,258.0,1429.0,5102.0,561.0,35.0,3353.0,3712.0,12446.0,2059.0,641.0,892.0,2009.0,890.0,12.0,1524.0,8.0,1023.0,15.0,52.0,1890.0,4.0,6707.0,5324.0,2914.0,1789.0,1820.0,6234.0,185.0,956.0,805.0,1342.0,63.0,1038.0,83487.0
2162,оон,2389.0,1.0,8.0,4147.0,1628.0,2.0,724.0,5258.0,389.0,21.0,4899.0,5713.0,2805.0,1930.0,86.0,268.0,1273.0,64.0,0.0,664.0,4.0,1001.0,14.0,174.0,2006.0,9.0,18524.0,3480.0,5739.0,7.0,1046.0,14766.0,38.0,1176.0,327.0,526.0,18.0,1859.0,82983.0
3575,донбасс,2955.0,0.0,5.0,3011.0,1601.0,0.0,633.0,8964.0,489.0,0.0,3340.0,6668.0,4914.0,5819.0,49.0,458.0,2533.0,6.0,0.0,694.0,0.0,996.0,0.0,144.0,2777.0,2.0,16469.0,1743.0,5758.0,19.0,1871.0,5702.0,67.0,1161.0,392.0,605.0,8.0,2431.0,82284.0
9063,интерфакс,1731.0,10.0,10.0,8073.0,3534.0,0.0,846.0,2358.0,1395.0,8.0,39109.0,3614.0,716.0,3449.0,782.0,1298.0,326.0,10.0,4.0,1043.0,0.0,1435.0,0.0,116.0,1221.0,0.0,20.0,1305.0,2088.0,7.0,829.0,67.0,143.0,78.0,2192.0,3048.0,9.0,397.0,81271.0
6520,великобритания,2446.0,14.0,459.0,6076.0,2072.0,29.0,1126.0,6412.0,449.0,119.0,7335.0,5733.0,3072.0,3809.0,68.0,830.0,1185.0,307.0,234.0,1132.0,100.0,983.0,48.0,196.0,2450.0,63.0,8965.0,3242.0,5061.0,858.0,1357.0,10374.0,216.0,816.0,656.0,1759.0,108.0,1088.0,81247.0
3109,ст,654.0,14.0,31.0,25682.0,499.0,2.0,892.0,1655.0,32.0,4.0,8996.0,3888.0,5024.0,71.0,24.0,47.0,341.0,5677.0,6.0,5286.0,0.0,70.0,0.0,8.0,5508.0,3.0,958.0,1260.0,2187.0,48.0,211.0,8798.0,71.0,6.0,390.0,1851.0,204.0,411.0,80809.0
1834,олег,1811.0,5.0,628.0,13126.0,2412.0,166.0,1614.0,4191.0,701.0,26.0,3371.0,3585.0,14292.0,1877.0,392.0,964.0,1787.0,1106.0,9.0,1455.0,10.0,868.0,28.0,56.0,1909.0,9.0,5080.0,4342.0,2616.0,1243.0,1538.0,5147.0,150.0,806.0,838.0,1269.0,34.0,1022.0,80483.0
1379,ооо,505.0,4.0,30.0,36376.0,330.0,7.0,2853.0,635.0,88.0,10.0,6412.0,1228.0,9934.0,266.0,61.0,189.0,233.0,3004.0,11.0,781.0,0.0,116.0,0.0,5.0,4452.0,23.0,2878.0,1708.0,432.0,32.0,234.0,4194.0,84.0,43.0,196.0,1285.0,134.0,142.0,78915.0
3441,николай,2643.0,1.0,539.0,9397.0,2062.0,111.0,1770.0,3779.0,417.0,55.0,2511.0,3035.0,14824.0,1194.0,353.0,574.0,2288.0,1008.0,17.0,1521.0,13.0,963.0,36.0,33.0,1289.0,6.0,5244.0,6554.0,1895.0,1133.0,2164.0,5494.0,83.0,936.0,515.0,827.0,56.0,1437.0,76777.0
4090,twitter,2581.0,11.0,12.0,3992.0,1024.0,570.0,2236.0,8779.0,857.0,18.0,3966.0,4919.0,2117.0,4374.0,359.0,138.0,1013.0,1711.0,16.0,116.0,6.0,1592.0,1.0,64.0,3356.0,0.0,6074.0,6242.0,4988.0,2070.0,98.0,6992.0,206.0,136.0,1391.0,946.0,16.0,1460.0,74447.0
2445,япония,2645.0,54.0,1458.0,4338.0,1518.0,43.0,817.0,6361.0,495.0,71.0,4730.0,4637.0,4445.0,2281.0,33.0,336.0,1106.0,478.0,202.0,821.0,49.0,804.0,27.0,138.0,1818.0,221.0,10716.0,5186.0,2838.0,1137.0,948.0,9275.0,87.0,939.0,371.0,924.0,172.0,1019.0,73538.0
2103,кремль,1983.0,6.0,91.0,4991.0,4292.0,3.0,1201.0,5953.0,683.0,27.0,3399.0,3983.0,4789.0,2747.0,209.0,1137.0,2157.0,429.0,5.0,1286.0,6.0,943.0,4.0,317.0,3439.0,5.0,6573.0,3530.0,3204.0,51.0,3192.0,5260.0,199.0,1314.0,1022.0,1957.0,12.0,1772.0,72171.0
7236,днём,1971.0,7.0,332.0,3366.0,824.0,55.0,1732.0,4104.0,225.0,10.0,4094.0,3279.0,23092.0,1356.0,250.0,366.0,1384.0,3094.0,32.0,722.0,29.0,721.0,11.0,102.0,1619.0,19.0,4684.0,3723.0,1970.0,598.0,550.0,4390.0,44.0,747.0,298.0,267.0,73.0,1145.0,71285.0
5792,нато,2298.0,0.0,0.0,2926.0,1389.0,0.0,657.0,8553.0,315.0,0.0,3509.0,5324.0,2872.0,2712.0,8.0,166.0,1375.0,4.0,0.0,508.0,0.0,942.0,0.0,92.0,2388.0,1.0,10803.0,3712.0,8376.0,3.0,1408.0,7135.0,26.0,701.0,240.0,373.0,1.0,1933.0,70750.0
418,максим,1598.0,23.0,1177.0,9511.0,1947.0,110.0,1391.0,4685.0,684.0,28.0,2870.0,2869.0,12455.0,1501.0,611.0,864.0,1561.0,1178.0,11.0,1405.0,43.0,950.0,19.0,46.0,1853.0,8.0,3817.0,3899.0,1433.0,1812.0,1634.0,4327.0,155.0,804.0,704.0,1512.0,105.0,731.0,70331.0
8794,вечером,1727.0,1.0,266.0,3176.0,1956.0,48.0,2431.0,2277.0,600.0,11.0,6084.0,2474.0,14929.0,1586.0,499.0,613.0,1341.0,1447.0,29.0,1394.0,14.0,990.0,4.0,147.0,1447.0,18.0,7119.0,3159.0,1119.0,389.0,1056.0,5567.0,63.0,856.0,509.0,673.0,48.0,880.0,66947.0
7435,павел,1925.0,3.0,604.0,8127.0,2542.0,82.0,1436.0,5300.0,699.0,45.0,2907.0,2982.0,8754.0,1628.0,676.0,1396.0,1562.0,838.0,31.0,1586.0,3.0,837.0,14.0,47.0,1435.0,1.0,3682.0,4021.0,2001.0,1848.0,2021.0,3694.0,122.0,822.0,1051.0,1007.0,41.0,852.0,66622.0
6550,белоруссия,2333.0,8.0,17.0,4926.0,1948.0,49.0,813.0,6662.0,608.0,5.0,5857.0,4518.0,2494.0,4008.0,60.0,448.0,1568.0,330.0,17.0,106.0,4.0,834.0,1.0,91.0,2575.0,32.0,9101.0,882.0,3876.0,45.0,1007.0,7623.0,169.0,454.0,454.0,1241.0,39.0,1091.0,66294.0
4324,виктор,1945.0,0.0,728.0,8171.0,1705.0,109.0,1184.0,3968.0,390.0,45.0,2212.0,3168.0,10692.0,1904.0,527.0,956.0,1350.0,549.0,10.0,1456.0,5.0,819.0,20.0,49.0,1507.0,3.0,4937.0,4385.0,2631.0,1102.0,1890.0,4158.0,108.0,1038.0,572.0,802.0,56.0,973.0,66124.0
4673,екатеринбург,888.0,1.0,369.0,11185.0,1631.0,30.0,555.0,1718.0,306.0,11.0,2606.0,1805.0,17428.0,1207.0,304.0,644.0,521.0,237.0,12.0,1144.0,0.0,484.0,3.0,25.0,1175.0,10.0,5453.0,3565.0,1361.0,351.0,812.0,6439.0,61.0,466.0,779.0,591.0,94.0,712.0,64983.0
