,0,aif,autonews,championat,commers,echo,express,fontanka,gazeta,govorit,indicator,interfax,iz,kp,lenta,mediazona,meduza,mk,moscow,motor,novaya,nplus1,ntv,postnauka,radiovesti,rbk,review,ria,rosgazeta,rt,sports,svoboda,tass,thebell,tv1,tvrain,vedomosti,zarulem,zvezda,sum
5588,фгуп,39.0,1.0,8.0,1341.0,49.0,0.0,156.0,99.0,14.0,2.0,457.0,186.0,290.0,107.0,22.0,40.0,80.0,361.0,6.0,86.0,1.0,15.0,0.0,0.0,256.0,1.0,311.0,220.0,70.0,9.0,27.0,508.0,16.0,8.0,41.0,120.0,17.0,103.0,5067.0
4341,родригес,142.0,0.0,98.0,235.0,53.0,78.0,33.0,637.0,6.0,7.0,236.0,577.0,258.0,140.0,1.0,11.0,27.0,0.0,2.0,15.0,2.0,49.0,0.0,5.0,105.0,1.0,602.0,310.0,267.0,429.0,21.0,596.0,1.0,19.0,12.0,25.0,5.0,59.0,5064.0
3544,гэс,121.0,0.0,0.0,740.0,24.0,0.0,34.0,101.0,15.0,0.0,309.0,239.0,875.0,90.0,3.0,12.0,34.0,48.0,0.0,86.0,0.0,45.0,1.0,4.0,107.0,0.0,708.0,304.0,102.0,1.0,76.0,658.0,2.0,106.0,15.0,126.0,2.0,70.0,5058.0
5476,лесна,134.0,1.0,1.0,504.0,49.0,0.0,80.0,113.0,22.0,8.0,256.0,267.0,1203.0,98.0,12.0,31.0,113.0,107.0,4.0,61.0,3.0,37.0,1.0,7.0,72.0,4.0,436.0,503.0,139.0,8.0,54.0,573.0,4.0,35.0,13.0,39.0,6.0,59.0,5057.0
8164,el,138.0,0.0,16.0,439.0,64.0,28.0,91.0,663.0,27.0,0.0,301.0,383.0,145.0,138.0,2.0,61.0,62.0,6.0,15.0,68.0,3.0,88.0,1.0,2.0,296.0,9.0,165.0,386.0,272.0,211.0,58.0,745.0,4.0,7.0,39.0,57.0,8.0,48.0,5046.0
5009,рик,130.0,1.0,173.0,331.0,59.0,6.0,37.0,761.0,21.0,2.0,174.0,322.0,385.0,177.0,4.0,101.0,49.0,11.0,5.0,34.0,1.0,43.0,0.0,3.0,103.0,2.0,573.0,329.0,219.0,321.0,29.0,432.0,0.0,31.0,38.0,78.0,1.0,59.0,5045.0
6768,рафаэль,99.0,2.0,295.0,482.0,121.0,23.0,27.0,796.0,108.0,0.0,234.0,241.0,292.0,105.0,13.0,49.0,36.0,13.0,3.0,18.0,5.0,19.0,4.0,2.0,61.0,3.0,306.0,333.0,149.0,800.0,29.0,263.0,4.0,23.0,14.0,38.0,2.0,25.0,5037.0
8554,перу,142.0,0.0,149.0,259.0,136.0,7.0,32.0,436.0,18.0,8.0,329.0,308.0,254.0,125.0,8.0,45.0,92.0,36.0,14.0,58.0,10.0,57.0,8.0,1.0,109.0,2.0,961.0,337.0,127.0,100.0,46.0,586.0,0.0,52.0,35.0,43.0,1.0,103.0,5034.0
6362,ек,135.0,0.0,0.0,225.0,453.0,0.0,12.0,317.0,4.0,0.0,306.0,384.0,60.0,103.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,94.0,0.0,1377.0,104.0,397.0,0.0,1.0,899.0,5.0,0.0,3.0,70.0,0.0,44.0,5031.0
1712,горбунов,128.0,0.0,4.0,784.0,402.0,0.0,85.0,105.0,58.0,7.0,349.0,91.0,328.0,58.0,70.0,112.0,108.0,165.0,2.0,216.0,0.0,32.0,0.0,7.0,106.0,0.0,460.0,208.0,91.0,13.0,340.0,282.0,34.0,35.0,129.0,177.0,0.0,44.0,5030.0
