,0,aif,autonews,championat,commers,echo,express,fontanka,gazeta,govorit,indicator,interfax,iz,kp,lenta,mediazona,meduza,mk,moscow,motor,novaya,nplus1,ntv,postnauka,radiovesti,rbk,review,ria,rosgazeta,rt,sports,svoboda,tass,thebell,tv1,tvrain,vedomosti,zarulem,zvezda
35,Гончаренко,0.00019804431241490284,,0.0001699524133242692,0.00017413585084020546,0.00010076582023377672,0.0020412329046744235,,0.0006340012523481527,0.0002244417012680956,,0.0001704848161960575,0.00017119023904382468,1.7428130745836856e-05,0.0002475466360180356,,5.9883825378765195e-05,0.00019979022026871785,,,,,8.235366782648082e-05,,,0.00014192785334121822,,0.00012403015310833348,0.00011400233704790948,0.00019985274008625225,0.0017537411394066686,,7.053571878416573e-05,,3.494914898822214e-05,,0.00011719207781553967,,5.9787157718522055e-05
36,Эпштейн,2.4755539051862852e-05,,,4.975310024005871e-05,,,,5.4790231684408274e-05,,0.00408997955010225,2.1310602024507192e-05,1.5562749003984063e-05,0.00010456878447502115,5.304570771815047e-05,,0.00017965147613629558,4.994755506717946e-05,,,0.0003333555570371358,,,,,4.730928444707274e-05,,2.756225624629632e-05,2.850058426197737e-05,5.259282633848743e-05,,0.00017500875043752187,3.526785939208287e-05,,3.494914898822214e-05,,,,
37,Шумахер,4.951107810372571e-05,,0.0015295717199184226,2.4876550120029354e-05,,,,9.392611145898559e-05,,,,1.5562749003984063e-05,5.2284392237510575e-05,5.304570771815047e-05,,,,,,,,,,,,,6.890564061574081e-06,1.4250292130988685e-05,2.103713053539497e-05,0.0006510895248096612,,,,,,,,2.9893578859261028e-05
38,Скоробогатов,7.426661715558858e-05,,,4.975310024005871e-05,,,7.046223224351747e-05,7.827175954915466e-06,0.0001122208506340478,,0.00012786361214704316,,7.842658835626584e-05,0.00012377331800901778,,5.9883825378765195e-05,2.497377753358973e-05,2.2237046920169e-05,,,,8.235366782648082e-05,,,4.730928444707274e-05,,0.0001033584609236112,0.00014250292130988686,5.259282633848743e-05,,,0.0001058035781762486,0.001722158438576349,,0.000136518771331058,,,
39,Шуан,0.00014853323431117713,,,2.4876550120029354e-05,,,,0.0002504696305572949,,,0.00014917421417155036,0.00023344123505976094,6.0998457610429e-05,0.0002829104411634692,,,2.497377753358973e-05,,,,,0.00016470733565296164,,,0.00011827321111768183,,0.0007372903545884267,0.0001852537977028529,0.0004207426107078994,,,0.0004786352346068389,,,0.000136518771331058,,,8.96807365777831e-05
40,Удальцов,,,,7.462965036008807e-05,0.0006045949214026603,,7.046223224351747e-05,1.5654351909830933e-05,,,0.0001704848161960575,1.5562749003984063e-05,3.485626149167371e-05,1.7681902572716824e-05,0.0002012274876748164,,,4.4474093840338e-05,,0.0002000133342222815,,,,,2.365464222353637e-05,,9.646789686203712e-05,2.850058426197737e-05,2.103713053539497e-05,,8.750437521876094e-05,1.007653125488082e-05,,3.494914898822214e-05,,,,2.9893578859261028e-05
41,Синицын,,,,2.4876550120029354e-05,,0.0004082465809348847,,1.5654351909830933e-05,,,,3.112549800796813e-05,8.714065372918428e-06,,0.0014085924137237148,0.00023953530151506078,,,,,,,,,4.730928444707274e-05,,2.067169218472224e-05,2.850058426197737e-05,1.0518565267697487e-05,8.401155158834339e-05,8.750437521876094e-05,2.015306250976164e-05,,3.494914898822214e-05,,0.0002343841556310793,,2.9893578859261028e-05
42,Яковенко,4.951107810372571e-05,,,,0.00015114873035066505,,7.046223224351747e-05,7.827175954915466e-05,0.00033666255190214334,,0.0004262120404901438,0.00017119023904382468,0.00010456878447502115,0.00015913712315445143,,,,,,0.0002000133342222815,,0.0007823598443515678,,,0.00018923713778829093,,0.0002136074859087965,9.97520449169208e-05,0.0002103713053539497,2.1002887897085848e-05,8.750437521876094e-05,0.00015618623445065268,,0.0003844406388704435,,0.00011719207781553967,,8.96807365777831e-05
43,Сечин,0.0007921772496596114,,,8.706792542010273e-05,,,0.0002818489289740699,0.00011740763932373201,,,0.00031965903036760787,0.00017119023904382468,0.00010456878447502115,0.00038900185659977016,0.0002012274876748164,0.00011976765075753039,0.00014984266520153838,,,0.000400026668444563,,0.00028823783739268286,,,0.0003075103489059728,,0.000172264101539352,0.00015675321344087555,6.311139160618491e-05,,0.0002625131256562828,0.00014610970319577188,0.002296211251435132,0.0029357285150106594,0.000136518771331058,0.0007617485058010079,,5.9787157718522055e-05
44,Муж,0.00032182200767421715,,8.49762066621346e-05,6.219137530007338e-05,0.0004030632809351068,,0.0002818489289740699,3.1308703819661866e-05,,,,6.225099601593625e-05,0.0008016940143084952,1.7681902572716824e-05,0.0003018412315122245,0.00011976765075753039,0.000374606663003846,,,0.0003333555570371358,,0.00032941467130592327,,,,,,,4.207426107078994e-05,2.1002887897085848e-05,8.750437521876094e-05,2.015306250976164e-05,,,,,,5.9787157718522055e-05
45,Владелец,0.00014853323431117713,0.006535947712418301,0.0005948334466349423,0.0006343520280607485,5.038291011688835e-05,0.0004082465809348847,0.0004227733934611048,9.392611145898559e-05,,,0.00010655301012253596,0.00010893924302788844,0.00013071098059377645,0.00019450092829988508,,0.0003593029522725912,0.00029968533040307675,0.000177896375361352,,,,0.00020588416956620205,,,7.096392667060911e-05,0.006802721088435374,7.579620467731488e-05,0.00011400233704790948,3.1555695803092456e-05,0.000987135731163035,0.00017500875043752187,6.0459187529284925e-05,,3.494914898822214e-05,0.000273037542662116,0.0004687683112621587,,0.00014946789429630514
46,Ромашов,0.0002723109295704914,,,4.975310024005871e-05,0.00010076582023377672,,0.0002113866967305524,0.0005713838447088291,0.0001122208506340478,,4.2621204049014384e-05,4.668824701195219e-05,8.714065372918428e-06,5.304570771815047e-05,,,,8.8948187680676e-05,,,,4.117683391324041e-05,,,4.730928444707274e-05,,,1.4250292130988685e-05,,1.0501443948542924e-05,,5.03826562744041e-05,,,,,,2.9893578859261028e-05
47,Сурков,,,8.49762066621346e-05,0.00041046307698048434,0.0014107214832728735,,0.0007750845546786923,0.00019567939887288663,0.000561104253170239,,0.00034096963239211507,7.781374501992033e-05,0.00010456878447502115,0.00042436566174520383,0.0001006137438374082,0.0012575603329540688,0.0004495279956046152,,,0.0005333688912594173,,0.00012353050173972123,,,0.0005677114133648729,,0.00019293579372407424,0.00017100350557186422,0.00011570421794467236,2.1002887897085848e-05,0.001487574378718936,4.534439064696369e-05,0.001148105625717566,,0.0020477815699658703,0.002343841556310793,,8.96807365777831e-05
48,Жуков,0.00032182200767421715,,8.49762066621346e-05,0.0011318830304613355,0.0005542120112857719,0.0004082465809348847,0.0004932356257046223,0.00039135879774577326,0.0001122208506340478,,0.0003622802344166223,0.00028012948207171317,0.0005054157916292688,0.0002475466360180356,0.0014085924137237148,0.0014970956344691302,0.0005494231057389742,0.0005114520791638871,,0.001600106673778252,,0.0008235366782648082,,,0.0004967474866942636,,0.00037898102338657444,0.00032775671901273977,0.00022088987062164717,0.00023103176686794434,0.001662583129156458,0.0005088648283714814,,0.0002096948939293328,0.0020477815699658703,0.0008203445447087777,,0.0004185101040296544
49,Форвард,4.951107810372571e-05,,,,,0.0018371096142069808,,0.0004618033813400125,,,,3.112549800796813e-05,4.357032686459214e-05,0.0004774113694633542,,,,,,,,,,,,,,2.850058426197737e-05,,0.0011341559464426358,,,,,,,,
50,Бабаев,4.951107810372571e-05,,0.0001699524133242692,1.2438275060014674e-05,,0.0016329863237395388,,0.00028177833437695684,0.0001122208506340478,,4.2621204049014384e-05,4.668824701195219e-05,8.714065372918428e-06,3.536380514543365e-05,,,,,,,,,,,,,,2.850058426197737e-05,2.103713053539497e-05,0.0012076660540824365,,5.03826562744041e-06,,,,,,
51,Зритель,0.00019804431241490284,,,7.462965036008807e-05,0.00010076582023377672,,0.0004227733934611048,3.1308703819661866e-05,,,4.2621204049014384e-05,3.112549800796813e-05,0.0006186986414772084,0.00021218283087260192,,5.9883825378765195e-05,0.00014984266520153838,,,0.00013334222281485432,,8.235366782648082e-05,,,,,2.756225624629632e-05,0.00011400233704790948,3.1555695803092456e-05,2.1002887897085848e-05,8.750437521876094e-05,9.068878129392738e-05,,0.0001048474469646664,0.00040955631399317407,0.00011719207781553967,,0.00011957431543704411
52,Мазур,,,8.49762066621346e-05,0.0003731482518004403,,,,3.1308703819661866e-05,,,6.393180607352158e-05,6.225099601593625e-05,,1.7681902572716824e-05,,0.00011976765075753039,4.994755506717946e-05,2.2237046920169e-05,,0.000800053336889126,,0.00028823783739268286,,,0.00018923713778829093,,4.134338436944448e-05,,5.259282633848743e-05,0.00012601732738251508,,4.534439064696369e-05,,,,,,2.9893578859261028e-05
53,Кардиолог,4.951107810372571e-05,,,2.4876550120029354e-05,,,0.0002818489289740699,7.827175954915466e-06,,0.002044989775051125,,,,1.7681902572716824e-05,0.0004024549753496328,,4.994755506717946e-05,,,,,,,,4.730928444707274e-05,,,2.850058426197737e-05,1.0518565267697487e-05,,,5.03826562744041e-06,,,,,,2.9893578859261028e-05
54,Барсук,,,,0.0001616975757801908,0.00010076582023377672,,,4.6963055729492795e-05,,,1.0655301012253596e-05,,1.7428130745836856e-05,1.7681902572716824e-05,0.0003018412315122245,,,,,6.667111140742716e-05,0.004149377593360996,,,,2.365464222353637e-05,,3.44528203078704e-05,1.4250292130988685e-05,2.103713053539497e-05,,8.750437521876094e-05,1.5114796882321231e-05,,3.494914898822214e-05,,,,
55,Жемчужников,,,,,,,,,,,,,,,,,,,,,,,0.0008576329331046312,,,,,,,,,,,,,,,
56,Семенов,0.00019804431241490284,,,0.0005970372028807046,0.00015114873035066505,0.0004082465809348847,0.0009160090191657273,0.00033656856606136513,,,0.00012786361214704316,0.00034238047808764937,0.0003485626149167371,0.00015913712315445143,0.0006036824630244491,5.9883825378765195e-05,0.00019979022026871785,0.000489215032243718,,0.00026668444562970864,,,,,0.0003311649911295092,,0.00024116974215509281,0.0004132584717986719,,0.0002940404305592019,,0.00038290818768547117,,0.0003494914898822214,,0.00011719207781553967,0.001769911504424779,0.0004185101040296544
57,Вершинин,7.426661715558858e-05,,,4.975310024005871e-05,,,,0.00010958046336881652,,,0.00010655301012253596,0.0003579432270916335,8.714065372918428e-06,8.840951286358412e-05,,0.000598838253787652,2.497377753358973e-05,2.2237046920169e-05,,,,4.117683391324041e-05,,,0.00018923713778829093,,0.0005788073811722228,0.00021375438196483032,0.00016829704428315977,,,0.0003778699220580308,,,,,,0.00011957431543704411
58,Синельников,7.426661715558858e-05,,,3.731482518004404e-05,,,,7.044458359423921e-05,,,,6.225099601593625e-05,,1.7681902572716824e-05,0.0002012274876748164,,,,,,,,,,4.730928444707274e-05,,1.378112812314816e-05,1.4250292130988685e-05,0.0007152624382034291,,8.750437521876094e-05,4.030612501952328e-05,,0.0001048474469646664,0.000273037542662116,0.0002343841556310793,,2.9893578859261028e-05
59,Золотов,2.4755539051862852e-05,,,4.975310024005871e-05,0.00010076582023377672,,,0.00011740763932373201,0.0001122208506340478,,0.00012786361214704316,6.225099601593625e-05,6.971252298334742e-05,3.536380514543365e-05,0.0003018412315122245,0.00017965147613629558,0.00014984266520153838,,,0.0002000133342222815,,0.00012353050173972123,,,9.461856889414548e-05,,0.00011713958904675934,0.00021375438196483032,0.00011570421794467236,,0.0007875393769688486,8.565051566648696e-05,,0.0004543389368468878,0.0005460750853242321,0.00011719207781553967,,8.96807365777831e-05
60,Вегас,4.951107810372571e-05,,0.0011896668932698845,4.975310024005871e-05,,,,0.00015654351909830932,,,,0.00010893924302788844,1.7428130745836856e-05,3.536380514543365e-05,,5.9883825378765195e-05,,,,,,8.235366782648082e-05,,,,,,1.4250292130988685e-05,1.0518565267697487e-05,0.00010501443948542923,,3.0229593764642463e-05,,,,,,
61,Семён,0.0003713330857779428,,,4.975310024005871e-05,0.00010076582023377672,,0.00014092446448703494,0.00010958046336881652,,,,1.5562749003984063e-05,0.00026142196118755285,,,,0.00017481644273512813,,,0.0003333555570371358,,0.0019764880278355396,,,2.365464222353637e-05,,2.067169218472224e-05,8.550175278593211e-05,1.0518565267697487e-05,,0.0003500175008750437,1.007653125488082e-05,,0.00013979659595288855,,0.0001757881167233095,,0.00011957431543704411
62,Адвокат,0.0006188884762965714,,8.49762066621346e-05,0.002736420513203229,0.0019145505844417566,0.0012247397428046538,0.0021138669673055237,0.001291484032561052,0.0014588710582426215,,0.0007032498668087374,0.0005135707171314741,0.0010369737793772928,0.0005835027848996553,0.009558305664553778,0.003473261871968381,0.0011487937665451275,0.000244607516121859,,0.004600306687112474,,0.00012353050173972123,,,0.0015612063867534007,,0.0005719168171106487,0.00015675321344087555,0.00026296413169243715,0.003465476503019165,0.001662583129156458,0.0004887117658617197,0.000574052812858783,0.00013979659595288855,0.0035494880546075094,0.0013477088948787065,,0.0005081908406074376
63,Панин,0.00012377769525931428,,,2.4876550120029354e-05,0.00010076582023377672,,0.00014092446448703494,0.0005087664370695053,0.00033666255190214334,,2.1310602024507192e-05,0.00014006474103585658,0.000121996915220858,0.00026522853859075235,,,0.0002247639978023076,4.4474093840338e-05,,,,0.00028823783739268286,,,0.00014192785334121822,,0.00018604522966250017,2.850058426197737e-05,4.207426107078994e-05,0.0004620635337358887,,2.015306250976164e-05,,3.494914898822214e-05,,0.0008203445447087777,0.001769911504424779,0.0001793614731555662
64,Березуцкий,7.426661715558858e-05,,,,,0.006531945294958155,,5.4790231684408274e-05,,,,3.112549800796813e-05,8.714065372918428e-06,,,,,,,,,,,,,,,2.850058426197737e-05,1.0518565267697487e-05,0.000420057757941717,,,,3.494914898822214e-05,,0.00011719207781553967,,
65,Бражкин,,,,2.4876550120029354e-05,,,,,,,,,,,,,,,,,0.004149377593360996,,,,,,,,,,,1.007653125488082e-05,,,,,,
