,person,aif,autonews,championat,commers,echo,express,fontanka,gazeta,govorit,indicator,interfax,iz,kp,lenta,mediazona,meduza,mk,moscow,motor,novaya,nplus1,ntv,postnauka,radiovesti,rbk,review,ria,rosgazeta,rt,sports,svoboda,tass,thebell,tv1,tvrain,vedomosti,zarulem,zvezda,sum
599,Рыжков,9.902215620745142e-05,0.0,0.0,4.975310024005871e-05,0.0002519145505844417,0.0,0.0,5.4790231684408274e-05,0.0,0.0,0.00015982951518380393,4.668824701195219e-05,2.6142196118755287e-05,5.304570771815047e-05,0.0,0.0,0.0,0.0,0.0,0.00013334222281485432,0.0,0.0,0.0,0.0,2.365464222353637e-05,0.0,0.0001791546656009261,7.125146065494343e-05,9.466708740927736e-05,0.0,0.0,0.00017633929696041434,0.0,0.0001048474469646664,0.0,0.0,0.0,0.0006576587349037428,0.002182101262281383
255,Гамильтон,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5654351909830933e-05,0.0,0.002044989775051125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.750437521876094e-05,3.0229593764642463e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.002178378095944359
975,Соломон,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5654351909830933e-05,0.0,0.002044989775051125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.850058426197737e-05,0.0,0.0,8.750437521876094e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002176649086441694
450,Ортег,4.951107810372571e-05,0.0,0.0002549286199864038,0.0,0.0,0.0,0.0,1.5654351909830933e-05,0.0,0.0,0.0,1.5562749003984063e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017152658662092624,0.0,0.0,0.0,6.890564061574081e-06,1.4250292130988685e-05,1.0518565267697487e-05,4.2005775794171696e-05,0.0,1.5114796882321231e-05,0.0,0.0,0.0,0.0,0.0,2.9893578859261028e-05,0.002169596238209221
786,Лобов,0.0,0.0,0.0009347382732834807,3.731482518004404e-05,0.0,0.0,0.0,0.0002191609267376331,0.0001122208506340478,0.0,0.0,0.0,0.0,0.00010609141543630094,0.0,5.9883825378765195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4250292130988685e-05,0.0,0.0006300866369125755,0.0,5.5420921901844504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0021691679675956803
408,Гайдар,9.902215620745142e-05,0.0,0.0,0.00017413585084020546,0.0007053607416364369,0.0,0.0,0.00013306199123356294,0.0,0.0,0.0,3.112549800796813e-05,0.00013942504596669485,0.0,0.0,0.00011976765075753039,0.0002247639978023076,4.4474093840338e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.365464222353637e-05,0.0,0.0,0.0,6.311139160618491e-05,0.0,0.0002625131256562828,0.00011588010943112942,0.0,0.0,0.0,0.0,0.0,2.9893578859261028e-05,0.00216618987406889
212,Боттас,0.0,0.0,0.0017845003399048266,0.0,0.0,0.0,0.0,7.827175954915466e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4250292130988685e-05,0.0,0.00035704909425045945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021636269022411903
84,Блинов,2.4755539051862852e-05,0.0,0.0,7.462965036008807e-05,0.0,0.0,0.0,2.3481527864746398e-05,0.0001122208506340478,0.0,6.393180607352158e-05,1.5562749003984063e-05,0.0,0.00015913712315445143,0.0,0.0,0.0,2.2237046920169e-05,0.0,6.667111140742716e-05,0.0,8.235366782648082e-05,0.0,0.0,0.00014192785334121822,0.0,1.378112812314816e-05,5.700116852395474e-05,0.0,0.0,8.750437521876094e-05,0.0,0.001148105625717566,6.989829797644427e-05,0.0,0.0,0.0,0.0,0.0021631995211978715
802,Бушман,0.00012377769525931428,0.0,0.0,6.219137530007338e-05,0.0,0.0,0.0,0.0006026925485284909,0.0004488834025361913,0.0,6.393180607352158e-05,9.337649402390438e-05,1.7428130745836856e-05,7.07276102908673e-05,0.0,0.0,2.497377753358973e-05,0.0,0.0,0.0,0.0,0.00016470733565296164,0.0,0.0,0.00011827321111768183,0.0,4.134338436944448e-05,1.4250292130988685e-05,0.0,8.401155158834339e-05,0.0,9.572704692136779e-05,0.0,0.0,0.000136518771331058,0.0,0.0,0.0,0.0021628144334036353
736,Читатель,0.0,0.0,0.0,0.0,0.0,0.0,0.0008455467869222098,7.827175954915466e-06,0.0,0.0,0.0,1.5562749003984063e-05,0.0003921329417813293,3.536380514543365e-05,0.0001006137438374082,0.0,0.0003246591079366665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.730928444707274e-05,0.0,0.0,9.97520449169208e-05,3.1555695803092456e-05,0.0,0.00017500875043752187,0.0,0.0,0.0,0.0,0.0,0.0,5.9787157718522055e-05,0.0021351192439050767
